issuenumber,title,issue_summary,resolution
192514,Ansys Workbench Malfunctioning,The user is experiencing difficulty playing MP4 simulations on the cluster and is encountering an error message while running a project simulation on Ansys. The user is seeking guidance on how to set up the necessary resources to avoid the error and is also inquiring about software options for viewing MP4 simulations on the cluster.,"The support team provided information about a multimedia player available on the Negishi Remote Desktop and suggested that the issue might be related to the user's specific workflow rather than the Ansys software itself. They recommended contacting Ansys user support or user forum for further assistance. When the user reported that the multimedia player was not functioning on Negishi, the support team suggested transferring the videos to a local machine for viewing. After the user requested the installation of the VLC media player, the support team confirmed that VLC has been deployed as a module on Negishi and provided instructions on how to launch it."
715113,Attempt to build a shared container,"The user requested assistance in building and managing Apptainer containers for their lab, including setup in a shared location and ongoing maintenance. They expressed a lack of experience in managing containers and requested guidance from RCAC.","The support team advised the user to first attempt building the containers themselves, using available resources such as previous workshop slides and coffee hours for assistance. They also mentioned that RCAC generally recommends individuals to build the containers first and seek help for any issues that arise."
611754,Unable to Login to Remote Desktop (ThinLinc),"The user is unable to log in to the Remote Desktop - ThinLinc using their Purdue account, despite being authorized to do so for a course.","The support team provided instructions to download and use the ThinLinc desktop client, which should resolve the login issue. The user was advised to close the existing ThinLinc client, reopen it, and select ""End existing session."""
178834,Inquiry about submitting long running jobs on scholar ABAQUS,The user requested guidance on submitting a job for ABAQUS on the Scholar cluster. They noted that they did not see specific instructions for ABAQUS on the RCAC instruction page.,The support team provided instructions for running ABAQUS as a GUI or command-line tool after loading the appropriate module in the job submission file. They also suggested a tutorial from another institution that might be helpful (https://classes.engineering.wustl.edu/2009/spring/mase5513/abaqus/docs/v6.6/books/usb/default.htm?startat=pt01ch03s02abx02.html). The user was directed to the Scholar job submission guide for further information (https://www.rcac.purdue.edu/knowledge/scholar/run).
100422,Issues with running a code on Compute nodes,"The user is experiencing issues when attempting to run a job on compute nodes after successfully running it on the front-end nodes. The job involves executables `parallel_computation.py` and `SU2_CFD`, and the user suspects that the issue might be related to the compilation flags used during code compilation. The user also encounters an error message related to the Hydra job manager.","The support team forwarded the issue to experts and requested additional information about the MPI library and its version. After receiving the information, the team updated some configuration settings for OpenMPI."
473908,Request cluster access,The user requested access to a cluster for a research group led by Dr. Greeley.,The user was directed to log into the RCAC account portal and submit a request for access to the desired cluster through the appropriate research group.
384359,Queue unavailable on Gateway,"The user was unable to access a newly purchased A100 GPU queue on Gilbreth, despite being added to the queue through their RCAC account.","The support team informed the user that they needed to be manually added to the queue by a group administrator. The user was directed to a specific webpage to request access. After completing this step, the user was able to access the queue."
648021,»Ø¸´: Request to Reinstall Older Intel Version (19.0.5.281),"The user requested the reinstallation of an older Intel version (19.0.5.281) to support the icpc command, as the newer version (2024.2.0) is causing difficulties in maintaining consistency with the original code. The user also inquired about the possibility of changing back to the new OS in the future.","The support team decided to provide the deprecated software as-is, with no support. The user was informed that the script to change the shell to look at the old CentOS 7 module files (`source /apps/cent7/rocky8-compatibility/switch-to-old-dangerous-unstable-centos7-modules.sh`) only affects the current shell and does not prevent the use of the Rocky 8 (new OS) modules in future sessions."
140105,Re: [ANVIL] Unscheduled %%CLUSTER%% outage,"The user requested to be unsubscribed from a mailing list, stating they are not a student at Purdue and did not sign up for the list.","The support team explained that the user was added to the list due to their involvement in a project on the Anvil cluster. They were advised to contact the project lead, Bihter Padak, to be removed from the project on the ACCESS website."
22607,Please delete my account on the cluster,The user requested the deletion of their account and files from the Bell cluster due to their departure from Purdue on a specific date.,"The support team informed the user that their account would be deactivated in October, and they could be removed from the group immediately if their PI (Prof. Kais) grants permission."
413155,Scratch Storage on Bell not working,"The user reported that they were unable to access the scratch storage on Bell, receiving an error message stating ""Error in getting information for file .... Cannot send after transport endpoint shutdown."" The issue affected all folders.","The user resolved the issue by closing all tabs, logging out, and then logging back in. The problem was no longer present, and the user confirmed that everything was working as expected."
33445,08/23/2023 - New User Request (sruizguz),The user requested access to a Data Depot account for a new user. The support team confirmed that the user already had access to the Data Depot account and provided instructions for the user to access the account.,The support team confirmed that the user had access to the Data Depot account and provided instructions for the user to access the account. The user confirmed that they were able to connect to the Data Depot account.
43206,Help needed for the installation,"The user is attempting to install the FPLO code on a Bell cluster and encountered an error due to missing packages. Specifically, the user needs to install qt4-dev-tools, libncurses5-dev, libncursesw5-dev, python-pip, and python.h. The user requested a consultation meeting to discuss the installation process.",The support team scheduled a consultation meeting for the user to discuss the installation process. The user was advised to ensure that the required Python packages are installed in the depot space. The support team also provided a Teams invitation for the meeting.
777009,Unable to load modules on bell cluster,"The user reported that a script previously used on the Bell cluster is no longer working due to errors related to the ""RAPsearch"" module. The script attempts to load the module and run the ""rapsearch"" command, but it is now reporting that the module is unknown and the command is not found. The user asked if the module environment has changed or if the package has been removed or renamed.","The support team confirmed that the ""rapsearch"" program is now available via the Biocontainers module. To load it, the user should run the following command: `module load --force purge module load biocontainers module load rapsearch`. This will load rapsearch/2.24 and its dependencies, allowing the user to run ""rapsearch"" or ""prerapsearch"" as before. The support team also explained that the legacy module tree was deprecated, and all bioinformatics software was consolidated under Biocontainers. If the user needs a tool that is not available in Biocontainers, they should send a request to the support team for a faster turnaround."
710696,Negishi GPU Job - Missing CUDA Runtime for PyTorch,The user is unable to use PyTorch with GPU on Negishi (A100 GPU node) because libcuda.so is not found in standard locations. They are unsure about the specific module or environment variable to load to access the CUDA runtime.,The support team confirmed that the issue was resolved without further action.
114932,Scholar Cluster Account,The user is unable to log in to Scholar using their Purdue credentials and inquires about account access for an AAE512 course.,The support team confirmed that the user's account is pending and advised them to wait overnight for activation. The user was later informed that their account is now ready to use.
361559,Assitance with Geddes Image (nanoCHAT),The user requested a meeting to discuss the deployment of a second image on Geddes and its connection to the nanoHUB (dev) website.,The support team suggested scheduling a meeting through the RCAC Coffee Hour Chat. The user was informed that this would be the most efficient way to coordinate with the necessary parties.
702729,Slurm queue access,"The user encountered an issue connecting to a queue using ""ssh queue"" from data.cs.purdue.edu, resulting in a ""Connection to queue closed"" error.",The support team determined that RCAC does not manage data.cs.purdue.edu and advised the user to contact the appropriate IT support for that domain.
218819,Paraview on Anvil,"The user is experiencing difficulties visualizing large files using ParaView on the login nodes due to slow performance. They encountered an error when attempting to launch ParaView in an interactive session, suspecting it to be an X11 issue. The user is seeking guidance on how to enable X11 forwarding for an interactive session and is unsure of the appropriate workflow for visualizing large files.",The support team advised the user to submit a ticket via the ACCESS user support portal (https://support.access-ci.org/help-ticket) for further assistance with the issue on Anvil. The user was informed to contact the ACCESS support team for specific guidance on their issue.
