issuenumber,title,issue_summary,resolution
478013,Re: Quota Usage Alert,"The user has accidentally deleted a data folder (""INCCIA"") in the shared Data Depot space (/depot/ccrc/data) and wants to recover it. The user also mentions they have exceeded their storage limit due to total usage by all group members, and are awaiting additional storage.","To recover the deleted data files, follow the steps provided in this link: https://www.rcac.purdue.edu/knowledge/depot/recover/. For additional help, contact the RCAC support team. It is also recommended to leave the current state of the depot account as is for a little while longer until the extra storage purchase is processed (hopefully this week)."
607438,STACKS 2 update,User requests an update of the STACKS module to version 2.68 on Negishi biocontainers for better performance and parallelization capabilities in data processing.,"- Update the STACKS module to the latest version 2.68 on Negishi using the following commands:
  1. Purge all loaded modules with `ml --force purge`
  2. Load the biocontainers module with `ml biocontainers`
  3. Load the STACKS module version 2.68 with `ml stacks/2.68`
- User guides for each biocontainer module can be found in [this link](https://www.rcac.purdue.edu/knowledge/biocontainers). - Verify the updated version of STACKS by checking the process_radtags version with `process_radtags --version`. The output should show version 2.68."
86664,Error: Disk quota exceeded @ dir_s_mkdir,Error message encountered due to exceeded home directory quota on Bell Open OnDemand Gateway.,"To resolve the issue, follow these steps:
   - Launch a terminal on Bell Open OnDemand Gateway via the ""Cluster"" tab and execute the command `myquota`. This will display your quotas and usage of different spaces. - Run the command `ncdu $HOME` to get more detailed information about the files in your home directory, including hidden directories/files that may not be visible by default. - Navigate to your home directory via the ""Files"" tab in Bell Open OnDemand Gateway and delete some unnecessary files from there. Make sure to select the ""Show Dotfiles"" option to see hidden directories and files. It's safe to clear the `/home/vvarsha/.cache` directory. - After freeing up some space, launch the Jupyter app again to check if the error persists."
86682,"Plan ahead for event parking this Saturday, Nov. 25",User named in the message wants to be removed from the Facilities and Transportation mailing list.,"To resolve this issue, Facilities and Transportation staff should remove the user's email address from their mailing list. This can be done by updating the contact list on which the user's email was added."
87196,Local GPU Unavailability Issue,"User encountered a runtime error indicating ""No CUDA GPUs are available"" while executing a machine learning task on an HPC node.","To help diagnose the issue, please provide the following details:
   - Which HPC node were you running the job on? - What application(s) were you using? - Could you describe the steps you took to initiate your work? - Additional information about the error or any relevant logs would also be helpful."
87260,License Checkout Failed Ansys CFX,Jobs are failing due to a license checkout error in ANSYS CFD Solver.,"The user is using the group's own ANSYS license, which is managed by ECN (Electronic Classroom Network). The user should contact ECN for license setup and configuration instead of RCAC. The license server is marina.ecn.purdue.edu with port 1726."
88573,Fwd: GPU Machines Access,Request for a two-week trial access to Gilbreth cluster's Nvidia GPU plan.,"To start the two-week trial of Gilbreth cluster, Professor name's group should contact the support team directly via email at [support_email@purdue.edu](mailto:support_email@purdue.edu). It would be helpful if they could include this ticket number (108065) in their message for easy reference. After receiving the request, the support team will guide them through the process of setting up the trial access."
88952,Negishi - shared/group directories,User Danny is unable to transfer files from his home directory on Workbench to /depot/hall556 using Globus due to permission issues.,"The equivalent path of ""/group/hall556"" on Data Workbench is ""/depot/hall556"". User Danny can access it using ""/depot/hall556"" on Negishi. However, user Danny only has read access to /depot/hall556 currently due to group memberships. To transfer files to /depot/hall556 (probably in the data subdirectory), user Danny should ask his PI to add him to the hall556-data Unix group via this web portal: [https://www.rcac.purdue.edu/account/groups/1752/members](https://www.rcac.purdue.edu/account/groups/1752/members). This will grant user Danny read/write access to /depot/hall556/data."
202472,Help installing software package XMDS2,User is unable to install XMDS2 on their Negishi account due to restrictions and requires assistance with a manual installation.,"The user should follow the manual installation instructions provided at http://www.xmds.org/installation.html#manualinstallation. It is recommended that they create a fresh anaconda environment as the base for this installation. They should also load specific modules to ensure that dependencies are available, including hdf5, fftw, MPI libraries, and Intel-MKL, using the following commands:

   - module load hdf5
   - module load fftw
   - module load openmpi
   - module load intel-mkl

Instead of running `sudo ./setup.py develop`, they should use `./setup.py develop --prefix=~`."
450414,Request for Installation of GPUDirect RDMA on RCAC Schloar System,Request for installation of GPUDirect RDMA on user's own nodes in the RCAC cluster for enhanced GPU-based data transfer capabilities.,"The installation of GPUDirect RDMA is permitted centrally onto nodes that the user owns, preferably in their home directory or in their project's allocated space. It's recommended to install any required python modules onto the home directory as well. Due to restrictions on kernel-modifying software, it's highly suggested to use containers to load modules onto its kernel. The user is advised to contact support for further help if needed."
89469,Question about external parties accessing RCAC compute nodes,External user requesting access to Purdue RCAC clusters,"The R4P (Research for Professionals) approval would help an external user obtain a Purdue career account. Once the user has a career account, the group manager of Negishi queue can add them to their queue, granting access to Negishi. For more information on purchasing access, visit https://www.rcac.purdue.edu/purchase and for details on the R4P process, visit https://www.rcac.purdue.edu/knowledge/negishi/accounts."
472954,Regarding new csml-b queue,The user is unable to request GPUs in the csml-b queue and the walltime shown is 0.0 hours. They are using 7 A30 GPUs but can only request for 3 on the UI or using sinteractive.,"The issue is due to an error during the system setup, causing the walltime to incorrectly reflect csml-b's actual walltime. Despite this glitch, users should still be able to use the csml-b queue without issues. The IT department will inform the user once the problem has been fixed. In the meantime, users can proceed with their jobs on the csml-b queue."
89748,Trouble running funannotate on Bell Clusters,User is unable to run funannotate on Bell Cluster due to an error related to genemark.,"The user should verify if their corresponding funtest.out file mentions a license key. If not, they are advised to run the job again and check if the issue persists. It is also suggested that the user considers using funannotate version 0.8.15 as it has fixed some bugs present in version 0.8.13."
89756,Data Depot Access Troubleshooting,User (Jess) cannot access the data subfolder in /depot/raaltman and /depot/raaltman-2 due to lacking membership in the raaltman-data Unix group.,"The user should ask their PI to add them to the raaltman-data Unix group via the user portal (<https://www.rcac.purdue.edu/account/groups/2025/members>). After being added, it might take up to 4 hours for the group memberships to be updated. The user also needs to remap the Data Depot network drive in order for their updated group membership to be recognized. If the user has already been added to raaltman-apps Unix group but not raaltman-data, they should ask their PI again to add them to raaltman-data. Once added, run the 'groups' command and ensure that raaltman-data appears in the output before trying to access the data subfolders again."
90001,Request to Access GPU cores on ANVIL,Request for permission to utilize GPU cores on the ANVIL cluster to run a slow object detection model (YOLOv8) for a final project in a VIP course.,"The user has access to Data Mine's CPU allocation on Anvil. To request GPU cores, they should ask the program managers of Data Mine to add them to their GPU allocation on Anvil since it is at the discretion of the managers of Data Mine. They can contact name () for assistance if needed. If further help is required from Purdue IT Service, the user should reopen this ticket within 7 days and share the name of the instructor of VIP 11365-020 with them."
263155,Assistance Required: Excessive Download Requests from Purdue University IP,"Excessive API access from Purdue University IP '128.211.155.43' is causing issues with EMDB, a public database operated by EBI. The excessive requests are coming from a script or application in use at the institution and not from the ""DAQ score database"" as initially suspected.","Investigate the scripts or applications in use on all machines connected to '*.rcac.purdue.edu' network, focusing specifically on those within HOCK, as they were found to be the source of excessive API requests. Communicate with the affected parties to review their code or automated processes and rectify the situation. This will help restore full access to EMDB services without impacting its performance. The specific request causing issues is <http://www.ebi.ac.uk/emdb/api/search/current_status:%22REL%22?rows=1000000&wt=csv&download=true&fl=emdb_id,structure_determination_method,resolution>."
90423,Setting up Gilbreth account,User is unable to access home directory or 'ondemand' directory after account creation and cannot use GPU resources due to group assignment.,"The user may need to wait for the system to propagate their access, as it might take up to overnight. After logging in, use the command 'ls -a' to view hidden files in the home directory. To access Gilbreth GPU resources, the user should contact TDM-Merck group managers and verify if they have active Gilbreth GPU subscriptions."
90896,How can I access super computers at Purdue,Postdoc at the Life Science department requires access to supercomputers for research purposes and seeks guidance on steps required.,"The postdoc needs to contact their PI to purchase into the cluster resources (<https://www.rcac.purdue.edu/orders/products?category=22>). After the order has been fulfilled, a unix group will be created for the group with the PI as the manager. The PI can then add, remove, or manage group members to the purchased resources."
356747,Server Access Inquiry,Request for access to Bell server by a 1st-year student in the School of Business at Purdue University.,"To gain access to the Bell server, the student should talk to some research labs that already have active accounts on Bell and request to be added as a user. The student will need to find a lab that is willing to sponsor their account."
91199,Expression of Interest in Student Part-time Employment Opportunities at RCAC,Incoming MS student in Computer and Information Technology at Purdue University is seeking information about available graduate assistantships or part-time roles within the Rosen Center for Advanced Computing (RCAC).,"The RCAC team suggested checking the Purdue career website (https://careers.purdue.edu/) regularly, as all jobs (full-time and part-time) from RCAC would be posted there."
91312,Checking out svn repository to depot,"User is unable to check out code from a specific SVN repository (https://nanohub.org/tools/nemo/svn/trunk/NEMO/) in the /depot directory due to an error message ""Error running context: The server unexpectedly closed the connection.""","The user should try the following steps to troubleshoot the issue:
   - Attempt the checkout workflow from a different machine (local machine recommended) and see if it works as expected. - Contact nanohub support for further assistance if the issue persists."
92020,New publication using RCAC resources,Researcher failed to acknowledge RCAC resources in a peer-reviewed publication.,Encourage the researcher to include acknowledgment of RCAC resources in future publications when computational or storage resources have been utilized.
92024,"Issues with ""tdm-merck"" queue on Gilbreth -- no queues enabled?","The tdm-merck queue on Gilbreth does not appear for users who login and type ""slist"", because it was expired on 12/07/2022 and did not get renewed due to order #9817 being cancelled.",Resubmit the purchase request for the tdm-merck queue on Gilbreth. [Please check with Nick Rosenorn ( ) regarding the status of the resubmitted purchase request.]
92499,Jobs stuck in CG and can not be canceled,User has requested cancellation of CG jobs on account li4476 due to recurring issue.,"To cancel the user's CG jobs (li4476), you can use the following command:

```bash
qdel -u li4476 CG. *
```
Please note that this command will only remove jobs with the ""CG"" prefix. If there are other running jobs for this account, adjust the pattern accordingly. For more information on the qdel command, refer to the LSF documentation: https://www.rcac.purdue.edu/docs/systems/lsf-cluster-guide/lsf-job-control.html#qdel. Once the jobs are cancelled, users can resubmit them when the maintenance on Bell is complete and the root cause of the issue has been addressed, as announced on the RCAC website: https://www.rcac.purdue.edu/news/6227."
92607,RCAC Billing Question,Inquiry about billing for access and usage of specific queue on HPC cluster Negishi,"The initial payment grants access to the alta and Negishi queues on the HPC cluster. There will be no additional charges for jobs submitted to these queues, unless the group chooses to acquire more resources. Jobs can also be submitted to the standby queue for free, taking advantage of idle resources on the cluster, but they may have longer wait times when the cluster is busy due to lower priority in resource allocation."
92672,Gilbreth Conda issues,The user is experiencing slow installation of python dependencies and running python scripts on Gilbreth HPC system. The issue seems to be related to high loads on Data Depot and may also be related to specific packages the user is trying to install.,"- Try installing Python packages in the user's home directory instead of Data Depot (/depot/bera89/apps/) to see if it is faster. - `myquota hviswan` can be used to check the current space usage on the home directory. - Run the command `ncdu $HOME` to see the sizes of sub-directories and files in the home directory. - It is safe to clear the `~/.cache` and `~/.conda/pkgs` directories. - Share the exact commands used when trying to install Python packages, as well as the names of the problematic packages, so that tests can be run to see if the errors are reproducible. - Re-run the ML training job and share the job ID with the support team for analysis. - Check if the performance improves when running the script on different GPUs. - If a difference in speed is observed, report it to the support team."
92885,Github Enterprise Zenodo,User is unable to connect Purdue GitHub instance (github.itap.purdue.edu) to Zenodo due to limitations in the GitHub-Zenodo integration.,Manual upload of a zip file from new GitHub releases is the recommended workaround for integrating Purdue GitHub with Zenodo as the automatic connection is only supported for github.com. The user can manually upload the zip file to Zenodo when they have a new release.
92953,Seeking Potential Opportunities for a (computational) Research Scientist (Dual Career Assistance Program),Research Scientist at University of Virginia (UVA) is inquiring about potential career opportunities within the Rosen Center for Advanced Computing (RCAC).,"The research scientist has been advised to keep an eye on the Purdue career website as all positions will be posted there. If they are interested in a specific position, they should apply through the application portal. Good luck!"
339281,Students Unable to Sign-in to data-depot,User Ishan cannot connect to Maha datadepot through his ecn computer despite being added via the web portal and waiting for access propagation as instructed.,"The user was not a member of the correct group (Members) in the system, causing the issue with logging into the depot. The Graduate Research Assistant re-added Ishan to the Members group. If the issue still persists the following day, changing the password may be a potential solution."
93116,I lost access to thinlinc for data workbench,User lost access to ThinLinc for Workbench as it has been officially retired.,"The Workbench has been officially retired. Users should no longer access it through ThinLinc. For further computing resources, please visit the Purdue Research Computing Center's website (<https://www.rcac.purdue.edu/>) to find available alternatives and learn how to request them."
93508,Reg: Installation of a tool,Request for installation of BAMscale as a biocontainer and clarification on using Singularity on the clusters,"BAMscale is now available as a module under the bioinfo umbrella on Bell cluster. Users can run singularity-executed tools, including BAMscale, directly. If any issues arise, please reopen this ticket or open a new one."
93599,install software in a shared directory for lab,User from group 'li4578' at MCMP wants to install software on RCAC's Depot space for research purposes and have all group members access it. The user prefers to install the software themselves without submitting a ticket.,"The user's group (li4578) has Depot space available at /depot/li4578/apps or /depot/li4578/data. To check available space and usage, run the command `$ myquota zhu1241`. If not familiar with Depot, consult the user guide located at <https://www.rcac.purdue.edu/knowledge/depot>. The user can proceed to install the software on the designated Depot space without submitting a ticket."
93749,"About 6 files that get removed from  the RCAC ""/scratch/gilbreth"" file system on Dec 5, 2023.","Graduated PhD student from Purdue University has lost six files from the RCAC ""/scratch/gilbreth"" file system and would like to recover them or identify which files were deleted.","Unfortunately, since there is no backup for files in the scratch filesystem, it is not possible to recover the purged files. Here are the names of the deleted files: /scratch/gilbreth/tao77/Total_329037RRE.pkl, /scratch/gilbreth/tao77/Total_RRE_30identity.pkl, /scratch/gilbreth/tao77/positive0.3RRE.csv, /scratch/gilbreth/tao77/training_df_30%similarity.pkl, /scratch/gilbrath/tao77/test_df_30%similarity.pkl, /scratch/gilbreth/tao77/SVM_linear_l_0.3similarity.pickle The user is advised to read the highlighted note in the Scratch Space documentation: <https://www.rcac.purdue.edu/knowledge/gilbreth/storage/options/scratch> This information should help the user understand the nature of the scratch filesystem and how data in it can be lost."
94339,Assistance Needed: Sharing Specific Datadepot Sub-folder with a team,Requiring assistance to share a specific folder in Datadepot with a dedicated team while restricting access to other subfolders.,"To achieve this, create a specific group for your designated team within the Datadepot platform. The system administrator will then configure a folder under the group depot that is accessible only by members of the group. Here are the steps required:
   1. Decide on a preferred group name and folder name (e.g., /depot/liang292/[group_name]). 2. Confirm that the folder will be accessible (read/write/execute) only by members of this specific group, and they will have access to the folder but not to other subfolders such as ""apps"", ""data"", ""etc"". This means the folder's permissions must be set according to the team-specific group. 3. Choose whether the specific folder should share the entire quota for group depot space or if additional quota limitation is needed (e.g., 1TB). 4. Obtain the permission of your group PI for the changes to your group depot space. The system administrator will perform these changes once they receive your approval. If you have any questions or concerns, feel free to ask. In case you need further assistance, simply re-open this ticket within the next 7 days."
94375,request to update Python version,User needs to install Python version >=3.7 but the default is 3.6.8. The user wants the default python version updated for all users.,"The user can install a newer version of Python (e.g., 3.12.0) within their own Conda environment by activating the environment and running 'conda install python=3.12.0'. Alternatively, to create a new Conda environment with Python 3.12.0, use the command 'conda env create -n xxx python=3.12.0'. Before using Python in either case, check the version with the commands 'which python' and 'python --version'."
94622,Error GROMACS on Gilbreth,The user is unable to use Gromacs on Gilbreth due to an error in running commands such as `gmx grompp` and `gmx edit conf`. The issue seems to be related to the input files not being accessible or existing in the defined path.,"Check if the required input files (e.g., npt.gro, npt.pdb) are correctly specified in the input file for the Gromacs commands, and ensure they exist and are readable in the working directory on Gilbreth. If necessary, adjust the input file paths to point to the correct locations of the files. Additionally, make sure that the working directory is set properly on Gilbreth before running Gromacs commands. If the issue persists, consult your PI or ITAP team for further assistance."
94649,GitHub Enterprise sunset?,User inquires about the sunset of GitHub at Purdue and requests recommendations for hosting GitHub repositories going forward.,"GitHub.itap is scheduled to be decommissioned, but a specific timeline is not provided. It is recommended to use GitHub.com for hosting GitHub repositories."
94728,Question about a job error,"User is experiencing an error while running jobs using 'mpirun' command on Bell HPC cluster. The user believes that the problem might be related to 'mpirun', as a change in the number of cores used did not affect the simulation.","The suggested resolution is for the user to try using 'srun' instead of 'mpirun -np xxx'. In this context, replace 'xxx' with the desired number of processors. For example, replace 'mpirun -np 128' with 'srun -n 128'. The user is advised to check if this change resolves the issue."
94746,Question about RCAC REU Housing,Clarification on the cost of housing for RCAC REU program and potential conference travel costs,"The housing cost for $200/week will be fully covered by RCAC, located at Hawkins [Housing Name]. If REU students attend a conference (e.g., PEARC24), the total cost will also be covered by RCAC. The organizer has provided further contact information to confirm details if needed: name, PhD Senior Computational Scientist Purdue Information Technology."
95023,[RCAC-Cluster-Purchase] Negishi Cluster,User needs clarification about the behavior of purchasing multiple half-nodes on Negishi cluster and the sudo permissions for a single half-node.,"If your lab submits an order for two half-nodes, your lab does not own that one node. The purchase is for the access. To run jobs on exactly ONE node without sharing cores between different nodes, set parameters in your submit script using `#SBATCH --nodes=1` and `#SBATCH --ntasks=[number of cores]`. For example: `#SBATCH --nodes=1 #SBATCH --ntasks=128`. The waiting time for any lab queue on Negishi won't be longer than 4 hours if users submit jobs correctly. Users on Negishi will not gain sudo access to any node."
95345,Regarding not being able to create files on depot,"Unable to copy scripts to ""/depot/amannodi/data"" folder on Negishi cluster due to permission denial using winSCP.","It is recommended to use Globus for data transferring on the Negishi cluster instead of winSCP. The following link provides instructions on how to use Globus: https://www.rcac.purdue.edu/knowledge/bell/storage/transfer/globus If you encounter any problems while using Globus, please contact support for further assistance."
95494,Reserve RCAC Consultation,"User is unable to schedule a Coffee Hour Consultation on the RCAC website, getting redirected back to the list of times instead of confirming a selected time.","The user should try registering for the Coffee Hour Consultation again from the RCAC website (https://www.rcac.purdue.edu/coffee). If the issue persists, they can contact the support team either via phone at [phone number] or by email. Any Tuesday slot will work as a scheduling option."
251885,NVIDIA/Illinois Advanced Computing Teaching Kit already on Scholar?,Professor needs to confirm if NVIDIA/Illinois Teaching software is installed on Scholar and seeks guidance for SSH login issues with Duo Mobile client.,"The NVIDIA/Illinois Teaching software is not available on Scholar, but the professor can install it themselves. For SSH login, it's recommended to set up an SSH key following this user guide: <https://www.rcac.purdue.edu/knowledge/scholar/accounts/login/sshkeys>. Allow one day for the account setup to complete since the professor's account has been added to the class."
326916,Request for access to training queue on Gilbreth,"User needs access to the ""training"" queue on Gilbreth for a job that requires more than 24 hours and can scale well to multiple GPUs.","To gain access to the ""training"" queue, provide evidence of your job's ability to scale well to multiple GPUs and require longer than 24 hours (as outlined here: https://www.rcac.purdue.edu/knowledge/gilbreth/run/slurm/queues#training_queue ). Share the IDs of the jobs where your code was using multiple GPUs along with the path to your code. After providing this information, the user will be added to the training queue on Gilbreth."
95708,Denied access to data depot,User unable to access data directory (\datadepot.rcac.purdue.edu\depot\britol\data) despite being informed that access has been approved.,"The user needs to contact Prof. [name] and request to be added to the 'britol-data' group in order to gain access to the '/depot/britol/data' directory. Once added, they should be able to access the requested data."
359945,downloading elpa,User was unable to install elpa on Negishi HPC cluster due to AVX512 compile error with GCC.,"The user should follow the instructions provided in the dftfe installation guide (<https://github.com/dftfeDevelopers/install_DFTFE/tree/perlmutterScriptDealii9.5.2_withPetscSlepc>). During the installation, they needed to add additional flags `cflags=('-march=native' -fPIC -O2 -I'$MPICH_DIR'/include '-mmmx -msse -msse2 -msse3 -mssse3 -msse4.1 -msse4.2 -msse4a -msha -maes -mavx -mfma -mavx2' '-mavx512f -mavx512dq -mavx512ifma -mavx512cd -mavx512vl -mavx512bw')` to fix the AVX512 issue."
96299,Ask for help of Gilbreth setup,"User is unable to connect to Gilbreth cluster through Visual Studio Code (VSCode) but can connect via terminal SSH, and seeks assistance in setting up the cluster for self-supervised learning with 8 Nvidia A100 GPUs.","The user has been scheduled for a meeting with an HPC specialist on Thursday (12/14), 10:00AM EST to discuss their requirements and assist in setting up the Gilbreth cluster for self-supervised learning with 8 Nvidia A100 GPUs. In-person meetings are also available at the Convergence building, times can be coordinated between the user and the HPC specialist. The user should accept the meeting invitation sent via Teams to initiate the discussion process."
96582,Re: GPUs Purdue Cloud,Instructor needs access to GPU resources on Scholar cloud for their deep learning class in spring 2024 due to issues with timely access and resource availability for the students.,"The instructor should follow the usual process of requesting a GPU on Scholar cloud via email, which might involve creating a workshop for the class and receiving instructions on how to use it. However, there is a concern about limited resources on Scholar, and it's recommended to clarify the specific needs of the class to assess the best options available. While Gilbreth is an alternative with more resources, it requires a purchase."
96771,RCAC news,Request to remove user account from Negishi queue at Purdue's RCAC due to no longer using the service and being an alumni.,"To remove the user account from the Negishi queue, contact group manager, ""name"" (email address not provided), who has been granted the privileges to do so. The user can check out the fsemperl (Negishi) box under their name at this URL: https://www.rcac.purdue.edu/account/groups/1066/members?u=100858 upon login."
354214,Could not run my job,The user is experiencing issues with connecting to the Negishi clusters and running jobs on it.,"The Negishi Gateway is currently experiencing an issue, but it is still accessible through SSH. Users may continue to connect using their SSH clients. If further issues arise, please contact RCAC Support for assistance."
99320,Issue with using Firefox on bell cluster,"Firefox cannot start on Bell Cluster, with error message ""Could not start Firefox""","To resolve this issue, it is recommended to follow the user guide provided by the Purdue University Rosen Center for Advanced Computing (RCAC). The link to the user guide can be found here: https://www.rcac.purdue.edu/knowledge/bell/faq/jobs/errors/firefoxalreadyrunning

If Firefox is already running on your terminal, try killing it by executing the following command in a new terminal window:
```
killall firefox
```
Additionally, ensure that you are using the latest version of Firefox compatible with the Bell Cluster. You can update Firefox through the package manager available on your system or download the latest version from the official Mozilla Firefox website (https://www.mozilla.org/en-US/firefox/new/) and install it on your Bell Cluster account."
99789,Gilbreth resources and jupyter lab - gpu,"User is experiencing an issue where they are unable to access the `name-b` queue on Gilbreth for Jupyter Lab and also mentions that when they request resources for `name-b`, even though it has a free available GPU, it never gets to a run mode.","The user should have access to the `name-b` queue on Gilbreth as the issue with its settings has been fixed. To check the available resources, use the command `slist msudars`. To see details on different node types, use the command 'sfeatures'. The user should be able to launch the Jupyter Lab app in Gilbreth Gateway as well. However, it seems that there might still be an issue with requesting compute resources for `name-b` specifically for Jupyter, even though it has a free available GPU."
99957,Unable to purchase on behalf of faculty member through RCAC store,"User cannot find faculty member when trying to purchase data through rcac.purdue.edu storefront using aliases ""kplake"" or ""illingworth"".","The issue was caused by a slow Purdue LDAP used for looking up accounts, causing the user search input to time out before results were returned. To resolve this, increase the timeout and/or add a ""loading"" spinner. It seems that the LDAP is now behaving normally, and the faculty member can be found in the search box by entering ""kplake"". The result might take some time to appear."
256414,Need access to Schrodinger license through Li Lab on Negishi,"Researcher needs access to Schrodinger application for computations on Negishi cluster, as the licenses are owned by their department and accessible through their lab's data depot.","The researcher should request their PI (Principal Investigator) to add them to their group in Negishi. Once added, they should have access to their data depot where Schrodinger is available."
100381,New purchased A100 gpus were not avalible,User group is unable to access the lusu-h queue for A10 GPUs on the HPC server even though they recently placed an order for two A100 GPUs.,"The issue is due to the user group not renewing their subscription for A10 GPUs, and as a result, the lusu-h queue was unavailable. However, the user group has now made a new subscription for two A100 GPUs. The new GPUs have not been added into the lusu-k queue yet, and the staff will fulfill the order as soon as possible. It is noted that support work may be delayed during the winter break. For more information, please visit: https://www.rcac.purdue.edu/news/6237"
100436,Negishi cluster unaccessible,User encountered LDAP authentication error on Negishi cluster due to maintenance.,The issue is caused by the scheduled maintenance on the Negishi cluster today. Users are advised to check the news at https://www.rcac.purdue.edu/news/6189 for updates regarding the resolution of this problem.
100479,RCAC collaborator access for recently-graduated PhD student,"User needs to set up guest access for a former PhD student, Funing, on the RCAC system to allow him to finish his work and set up long-term repositories.","To grant guest access to the RCAC system for Funing, the user should fill out an R4P (Request for Provision) form on behalf of the former student. For more information about this process, please refer to the user guide provided at this link: [R4P User Guide](https://www.rcac.purdue.edu/knowledge/bell/faq/login/questions/expiredaccount)."
100626,login terminal issue,Failed LDAP authorization check when logging into Negishi cluster,"The Negishi cluster is currently under maintenance on December 20, 2023. Please refer to the news update at https://www.rcac.purdue.edu/news/6189 for further details and updates regarding maintenance schedules."
489659,Request to Access to RCAC Gilbreth,Request for access to the Gilbreth cluster for a research group,"The PI can add anyone to their CSML group and grant them access to the Gilbreth queue they have. The PI should email the RCAC support team if they require help in doing so. Once approved, the user will be added to the specified queue (no specific command or link provided). If additional group members need to be added, the user should provide the names to the RCAC support team for easy addition to the queue."
600074,access for former PhD student,Request to restore Data Depot and Negishi access for a former Ph.D. student (Viet-name) of Associate Professor Sergey at Purdue University's School of Business,"To regain access, submit a Request for Privileges (R4P) form on the Purdue IT portal. The link to the form and instructions can be found here: [Request for Privileges Form](https://service.purdue.edu/TDClient/32/Purdue/KB/ArticleDet?ID=33)."
100668,Gilbreth-users: confirmation required (7C705C81),Accidental email sent from a non-subscribed address to Gilbreth-users list requiring confirmation.,"Reply to the current message and type ""OK"" in the text of your message to confirm that the enclosed message did originate from you. If this does not work, or if the message did not originate from you, then contact the list owner for assistance."
100712,Issues when submitting a job in parallel,Error running parallel simulation on Scholar computing cluster due to unsupported Intel instructions.,"To resolve the issue, compile the model during an interactive session on the same machine that will be used for running the simulation. This should ensure the correct SIMD instructions are targeted. For example:

```bash
salloc -C A|B --time=01:00:00 --qos=standard your_username
module load your_required_modules
./your_compile_command
```

Replace `your_username`, `your_required_modules`, and `your_compile_command` with appropriate values. After compiling, submit the job for parallel execution as usual:

```bash
sbatch batchscriptTEST
```"
100957,Issue in running COMSOL on negishi cluster,COMSOL GUI is not opening on Negishi cluster via ThinLinc remote desktop and is closing automatically. A new error message has appeared recently.,Run the 'comsol -Dosgi.locking=none' command when starting COMSOL to bypass locking issues. This should allow the program to run while further investigations are made into the cause of the problem with hardware rendering.
621865,Anaconda in Gautschi,User is unable to set up Anaconda in the Gautschi cluster and seeks assistance.,"- The Anaconda setup has not been fully implemented on the Gautschi cluster publicly yet, but it is currently being worked on. Once completed, users will be notified. - In the meantime, to load conda, use the commands `ml reset` followed by `ml conda`."
102065,COMSOL crashing on Negishi cluster,User is unable to use COMSOL on the Negishi cluster and encounters a segmentation fault when running the comsol command.,"The user can try launching COMSOL using the command 'comsol -3drend sw' instead of just 'comsol'. If Java errors still occur, they can also try adding '-Dosgi.locking=none' to the command. For example: `comsol -3drend sw -Dosgi.locking=none`. The user should test these commands and report back on the results."
102085,Resources to Connect to RAs,Professor at Purdue University's Business School is seeking a RA with expertise in troubleshooting PySpark-related issues on the Bell cluster for their data processing project.,The professor was provided with the contact information of an expert who has experiences in PySpark that may help on their project. They were advised to reach out to this individual for more details when needed.
102363,questions of GPU clusters,"Professor Elmore Family School of Electrical and Computer Engineering at Purdue University is inquiring about purchasing access to the Gilbreth A100-80GB GPU Cluster, seeking clarification on various aspects such as machine type, execution time validity, remote access method, storage availability, data transfer, sharing among students, simultaneous usage, adding/removing students, and software installation.","- The support team offered a virtual meeting with the professor to discuss details regarding the Gilbreth A100-80GB GPU Cluster. - The professor agreed to meet at 1030AM on January 3. - A 2-week free trial access was provided for the professor's group, with temporary queue access to an A30 GPU (instead of the initially inquired A100 GPU). The professor can request A100 GPUs from the standby queue once they get access to Gilbreth. - Two doctoral students were granted temporary access to the Gilbreth cluster. One student already had a personal account on Gilbreth and should be able to submit jobs in the yunglu-b queue immediately, while another student's account will be created during an overnight batch run. - The support team provided information on how to manage group members' access to resources via the web tool at https://www.rcac.purdue.edu/account/groups/769/members. They also suggested using the 'sfeatures' command for details on different node types."
102494,Question about RCAC REU Housing,Inquiry about housing and conference expenses for the Anvil REU program in 2024,"The entire cost of housing (assuming you utilize the Purdue Residence provided) is included in the Anvil REU program, with no required contribution from you to secure the housing for the duration of the Anvil REU program. Travel costs to a conference may be provided but will be determined during or potentially post the program if there's a paper or other contribution to a conference. For further information or questions, contact the specified Research Computing Project Manager via email, MS Teams chat/call, or Slack chat/huddle at the given email address."
102658,Job killed,Job on Negeshi node was terminated due to out-of-memory issue.,"To resolve this issue, request a whole node using the command ""#SBATCH --mem=239G"" in the liang292 queue. Monitor the memory usage with the ""monitor"" utility or adjust the memory request accordingly. If the job completes without the out-of-memory issue, use the command ""jobinfo <job_id>"" to check the memory usage. Alternatively, for more information about the ""monitor"" tool, visit this link: https://www.rcac.purdue.edu/knowledge/negishi/run/examples/slurm/monitor."
